"","Pais","grupos.tamanio","grupos.calif","periodo","ocupados","asalariados","tcp","tasa.asalarizacion","seguridad.social.si.asal","seguridad.social.no.asal","registrados.asal","no.registrados.asal","empleo.temporal.asal","empleo.no.temporal.asal","part.involun.asal","part.volunt.asal","full.time.asal","seguridad.social.si.tcp","seguridad.social.no.tcp","registrados.tcp","no.registrados.tcp","empleo.temporal.tcp","empleo.no.temporal.tcp","part.involun.tcp","part.volunt.tcp","full.time.tcp","tasa.1.asalariados","tasa.2.asalariados","tasa.3.asalariados","promedio.ing.oc.prin","promedio.ing.oc.prin.asal","promedio.ing.oc.prin.tcp","tasa.partime.asal","tasa.seguridad.social.asal","tasa.no.registro.asal","tasa.temp.asal","tasa.partime.tcp","tasa.seguridad.social.tcp","tasa.no.registro.tcp","tasa.temp.tcp","particip.ocup","particip.asal","particip.tcp","tamanio.calif","tamanio.calif2"
"21","Chile","Pequeño","Alta",2019,419245.816891145,160657.975367002,160657.975367002,0.3832071040287,122886.004913968,37125.3653527213,133944.896298291,26713.0790687117,26116.561894295,134541.413472707,25511.0008302366,20283.3969157259,114863.57762104,0,0,0,0,0,0,80133.4977730604,60656.834487647,116913.38217087,0.32205731544367,0.0777449032866992,0.040797436648012,800314.988176238,716804.757382438,852843.426851486,0.158790752665469,0.232017045356494,0.166272972180118,0.386075246016462,0.310952047974211,0,0,0.397789152692141,0.0654540871935043,0.0333093464593771,0.0333093464593771,"Pequeño - Alta","3) Pequeño - Alta"
"22","Chile","Mediano","Baja",2019,231892.179424323,231892.179424323,231892.179424323,1,178930.720242816,50514.5143935912,187485.834435032,44406.3449892911,111512.428516692,120379.75090763,15336.0232151036,7661.52063732118,208894.635571898,0,0,0,0,0,0,0,0,0,0.567303849903823,0.195899575956682,0.104301779785695,320367.870035848,320367.870035848,0,0.0661342838433604,0.220159352943807,0.19149565586701,0.500211714556157,0,0,0,0,0.0362037981537507,0.0480783909296748,0.0480783909296748,"Mediano - Baja","4) Mediano - Baja"
"23","Chile","Mediano","Media",2019,489855.575821312,489855.575821312,489855.575821312,1,414593.452193567,70898.9908324287,427205.03863464,62650.5371866717,104260.426779659,385595.149041652,17693.5196522633,24769.3394008143,447279.750504023,0,0,0,0,0,0,0,0,0,0.307288957158573,0.126978309245672,0.0504042805147064,427986.096653039,427986.096653039,0,0.0361282014408843,0.146035209921141,0.127895935616593,0.263170327003327,0,0,0,0,0.0764779236434394,0.101562148115064,0.101562148115064,"Mediano - Media","5) Mediano - Media"
"24","Chile","Mediano","Alta",2019,327342.428330702,327342.428330702,327342.428330702,1,284760.93122294,40752.4385130336,304844.127734853,22498.3005958491,65556.5049315623,261785.92339914,14315.3560947038,37997.6085026023,275029.463733396,0,0,0,0,0,0,0,0,0,0.276590240558376,0.116345228166203,0.027895214457412,937300.683038765,937300.683038765,0,0.0437320519912608,0.125194361589781,0.0687301695370814,0.158512515238576,0,0,0,0,0.0511058166423025,0.0678681673363143,0.0678681673363143,"Mediano - Alta","6) Mediano - Alta"
"25","Chile","Grande","Baja",2019,488844.606933959,488844.606933959,488844.606933959,1,433550.61964568,50520.061328392,450778.98944513,38065.6174888287,201856.313799769,286988.29313419,22792.8422397167,22433.9858694979,443530.922780651,0,0,0,0,0,0,0,0,0,0.463538969155515,0.0969235112321071,0.0590626598492165,348224.106582105,348224.106582105,0,0.046634231780915,0.104365051043234,0.0778685433957773,0.336869169899254,0,0,0,0,0.0763200877318175,0.101352543127502,0.101352543127502,"Grande - Baja","7) Grande - Baja"
"26","Chile","Grande","Media",2019,1232514.01179042,1232514.01179042,1232514.01179042,1,1168768.49987389,55343.2993836857,1205268.12789236,27245.8838980539,252130.128172672,980383.883617746,57297.9421792948,60391.5879101021,1114051.39093031,0,0,0,0,0,0,0,0,0,0.261586194468504,0.0339548978316177,0.01448767338934,528718.623938124,528718.623938124,0,0.0465178522540765,0.0452109843375837,0.0221059425186372,0.32175192307281,0,0,0,0,0.192424292252133,0.255538115309749,0.255538115309749,"Grande - Media","8) Grande - Media"
"27","Chile","Grande","Alta",2019,1041465.94306335,1041465.94306335,1041465.94306335,1,974525.261563624,65118.3411682421,1009412.12735277,32053.8157105837,178136.741228989,863329.201834362,36131.1484214793,47759.9240848899,957426.046970895,0,0,0,0,0,0,0,0,0,0.206887310292353,0.0438353206505012,0.0143107911303699,1192519.14653745,1192519.14653745,0,0.0346975457770415,0.0626352540400682,0.0307775937601004,0.274446448238116,0,0,0,0,0.162597216000448,0.215927966500841,0.215927966500841,"Grande - Alta","9) Grande - Alta"
"28","Paraguay","Pequeño","Baja",2019,178930.75,105814.5,105814.5,0.59102886104955,10136,95678.5,14388.25,91426.25,5602,100212.5,11216.5,11889,82709,90.25,73026,0,0,0,0,23621.25,15894.25,33600.75,0.962230121857542,0.656755110439314,0.0618808745201599,1438757.83494668,1584280.81410047,1226903.85115637,0.106192500876761,0.905718745395141,0.865784299246469,0.325839061071221,0.32296595579544,0.998628044145815,0,0.436388351737576,0.125207688097517,0.116879189082064,0.116879189082064,"Pequeño - Baja","1) Pequeño - Baja"
"29","Paraguay","Pequeño","Media",2019,660624.5,280911.25,280911.25,0.425136129210517,37646,243265.25,62325.75,218585.5,22759.25,258152,15747.75,16242.25,248921.25,70,379643.25,0,0,0,0,64690.75,67311.25,247711.25,0.955735485502467,0.45129934184592,0.0227998231786856,1862788.78298862,2093916.34135851,1688820.73962071,0.0559372582727811,0.865954488217159,0.778742795838424,0.326674692164999,0.170519275748878,0.999821350184265,0,0.326135450252268,0.462008248438711,0.309946755456367,0.309946755456367,"Pequeño - Media","2) Pequeño - Media"
"30","Paraguay","Pequeño","Alta",2019,136528.25,65746.75,65746.75,0.482341099237415,21312.5,44434.25,37395.75,28231.5,13660.25,51967,7823.75,7333.25,50589.75,85.5,70696,0,0,0,0,19505,18391.5,32885,0.876421518841313,0.416400497960096,0.0551202877546171,3234210.61554318,3078567.28991403,3381801.02465431,0.117679937335303,0.676086493027274,0.429430302723092,0.352029263657095,0.2725272164809,0.998808711039278,0,0.347511041301768,0.0955470720079614,0.0725986718943219,0.0725986718943219,"Pequeño - Alta","3) Pequeño - Alta"
